VEOLMS API SQL / PAYLOAD CHECK
Generated: 2026-09-21T18:28:15.591Z
One safe GET request was sent to each documented GET operation.
This is a diagnostic check, not a load test.

STATUS KEY
NO_N_PLUS_ONE_SIGN = one or zero SQL round-trips observed; not proof of perfect SQL.
MULTI_QUERY_REVIEW = several SQL statements; this is not automatically N+1 and needs scale testing.
EXPLAIN_REQUIRED = slow SQL was observed; run EXPLAIN before adding an index.
PAYLOAD_HEAVY = response over 100 KB; check pagination and returned fields.

ENDPOINT RESULTS
getLearningThread | GET /api/v1/threads/{threadId} | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listAllBundles | GET /api/v1/bundles/manage | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listManualPayments | GET /api/v1/manual-payments | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getActiveSessions | GET /api/v1/auth/sessions | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listEnrolledCourses | GET /api/v1/enrollments/courses | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getMediaDelivery | GET /api/v1/media/{mediaId}/delivery | HTTP=400 | total=16ms | SQL=1 | SQL max=6ms | bytes=229 | multi-query=NO_N_PLUS_ONE_SIGN | index=NOT_CHECKED | payload=PAYLOAD_OK
getDiscussionAttachment | GET /api/v1/discussion-uploads/{fileName} | HTTP=400 | total=16ms | SQL=0 | SQL max=0ms | bytes=259 | multi-query=NO_QUERY_OBSERVED | index=NOT_CHECKED | payload=PAYLOAD_OK
listMyQuizzes | GET /api/v1/quizzes/mine | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
autocompleteUsersForMention | GET /api/v1/interactions/users/autocomplete | HTTP=400 | total=16ms | SQL=0 | SQL max=0ms | bytes=236 | multi-query=NO_QUERY_OBSERVED | index=NOT_CHECKED | payload=PAYLOAD_OK
getRefund | GET /api/v1/refunds/{refundId} | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getCourseQuizAnalytics | GET /api/v1/courses/{courseId}/quiz-analytics | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getOrderStats | GET /api/v1/orders/stats | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listLearningNotes | GET /api/v1/notes | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getCouponById | GET /api/v1/coupons/{couponId} | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listMyCourses | GET /api/v1/courses/mine | HTTP=401 | total=16ms | SQL=1 | SQL max=4ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listCourseModerationAuditLogs | GET /api/v1/courses/{courseId}/moderation/audit-logs | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getOrderInvoice | GET /api/v1/orders/{orderId}/invoice | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listCourseQuizAssignments | GET /api/v1/courses/{courseId}/quiz-assignments | HTTP=401 | total=16ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getMyNotificationPreferences | GET /api/v1/notification-preferences | HTTP=401 | total=15ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
downloadOrderInvoice | GET /api/v1/orders/{orderId}/invoice/download | HTTP=401 | total=15ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getMyNotificationSummary | GET /api/v1/notifications/summary | HTTP=401 | total=15ms | SQL=2 | SQL max=6ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listMyNotifications | GET /api/v1/notifications | HTTP=401 | total=15ms | SQL=1 | SQL max=4ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getVideoJobProgress | GET /api/v1/media/{mediaId}/progress | HTTP=401 | total=14ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listMyRefundRequests | GET /api/v1/refund-requests/my | HTTP=401 | total=14ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getCourseEditor | GET /api/v1/courses/{id}/editor | HTTP=401 | total=13ms | SQL=8 | SQL max=16ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getStudentQuizReport | GET /api/v1/students/{studentId}/quiz-report | HTTP=401 | total=13ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getQuiz | GET /api/v1/quizzes/{id} | HTTP=401 | total=12ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getCourseNotesOverview | GET /api/v1/courses/{courseId}/notes-overview | HTTP=401 | total=7ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listCurrentUserAvatars | GET /api/v1/auth/me/avatars | HTTP=401 | total=4ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listOrderRefunds | GET /api/v1/refunds/order/{orderId} | HTTP=401 | total=4ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
